id,name,namealt,nameloc,namelocalt,langloc,type,typeloc,iso3,area,daterec,datelast,srcgeom,note
"1",Cabo de Hornos National Park,,Parque Nacional Cabo de Hornos,P.N.Cabo de Hornos,spa,National Park,Parque Nacional,CHL,,,2023-09-11,snaspe,
"2",Torres del Paine National Park,,Parque Nacional Torres del Paine,P.N.Torres del Paine,spa,National Park,Parque Nacional,CHL,,,2023-09-11,snaspe,
"3",Katalalixar National Reserve,,Reserva Nacional Katalalixar,R.N.Katalalixar,spa,National Reserve,Reserva Nacional,CHL,,,2023-09-11,snaspe,
"4",Las Guaitecas National Reserve,,Reserva Nacional Las Guaitecas,R.N.Las Guaitecas,spa,National Reserve,Reserva Nacional,CHL,,,2023-09-11,snaspe,
"5",Contulmo National Monument,,Monumento Nacional Contulmo,M.N.Contulmo,spa,National Monument,Monumento Nacional,CHL,,,2023-09-11,snaspe,
"6",Río Blanco National Reserve,,Reserva Nacional Río Blanco,R.N.Río Blanco,spa,National Reserve,Reserva Nacional,CHL,,,2023-09-11,snaspe,
"7",Nalcas National Reserve,,Reserva Nacional Nalcas,R.N.Nalcas,spa,National Reserve,Reserva Nacional,CHL,,,2023-09-11,snaspe,
"8",Isla Mocha National Reserve,,Reserva Nacional Isla Mocha,R.N.Isla Mocha,spa,National Reserve,Reserva Nacional,CHL,,,2023-09-11,snaspe,
"9",Ralco National Reserve,,Reserva Nacional Ralco,R.N.Ralco,spa,National Reserve,Reserva Nacional,CHL,,,2023-09-11,snaspe,
"10",Cerro Ñielol National Monument,,Monumento Nacional Cerro Ñielol,M.N.Cerro Ñielol,spa,National Monument,Monumento Nacional,CHL,,,2023-09-11,snaspe,
"11",Laguna de Torca National Reserve,,Reserva Nacional Laguna de Torca,R.N.Laguna de Torca,spa,National Reserve,Reserva Nacional,CHL,,,2023-09-11,snaspe,
"12",Isla Cachagua National Monument,,Monumento Nacional Isla Cachagua,M.N.Isla Cachagua,spa,National Monument,Monumento Nacional,CHL,,,2023-09-11,snaspe,
"13",Pinguino de Humboldt National Reserve,,Reserva Nacional Pinguino de Humboldt,R.N.Pinguino de Humboldt,spa,National Reserve,Reserva Nacional,CHL,,,2023-09-11,snaspe,
"14",Pali Aike National Park,,Parque Nacional Pali Aike,P.N.Pali Aike,spa,National Park,Parque Nacional,CHL,,,2023-09-11,snaspe,
"15",Isla Guamblin National Park,,Parque Nacional Isla Guamblin,P.N.Isla Guamblin,spa,National Park,Parque Nacional,CHL,,,2023-09-11,snaspe,
"16",Hornopirén National Park,,Parque Nacional Hornopirén,P.N.Hornopirén,spa,National Park,Parque Nacional,CHL,,,2023-09-11,snaspe,
"17",Lauca National Park,,Parque Nacional Lauca,P.N.Lauca,spa,National Park,Parque Nacional,CHL,,,2023-09-11,snaspe,
"18",Trapananda National Reserve,,Reserva Nacional Trapananda,R.N.Trapananda,spa,National Reserve,Reserva Nacional,CHL,,,2023-09-11,snaspe,
"19",Magallanes National Reserve,,Reserva Nacional Magallanes,R.N.Magallanes,spa,National Reserve,Reserva Nacional,CHL,,,2023-09-11,snaspe,
"20",Llanquihue National Reserve,,Reserva Nacional Llanquihue,R.N.Llanquihue,spa,National Reserve,Reserva Nacional,CHL,,,2023-09-11,snaspe,
"21",Laguna Parrillar National Reserve,,Reserva Nacional Laguna Parrillar,R.N.Laguna Parrillar,spa,National Reserve,Reserva Nacional,CHL,,,2023-09-11,snaspe,
"22",Lago Rosselot National Reserve,,Reserva Nacional Lago Rosselot,R.N.Lago Rosselot,spa,National Reserve,Reserva Nacional,CHL,,,2023-09-11,snaspe,
"23",Alerce Andino National Park,,Parque Nacional Alerce Andino,P.N.Alerce Andino,spa,National Park,Parque Nacional,CHL,,,2023-09-11,snaspe,
"24",Lago Palena National Reserve,,Reserva Nacional Lago Palena,R.N.Lago Palena,spa,National Reserve,Reserva Nacional,CHL,,,2023-09-11,snaspe,
"25",Los Pinguinos National Monument,,Monumento Nacional Los Pinguinos,M.N.Los Pinguinos,spa,National Monument,Monumento Nacional,CHL,,,2023-09-11,snaspe,
"26",Lahuen Ñadi National Monument,,Monumento Nacional Lahuen Ñadi,M.N. Lahuen Ñadi,spa,National Monument,Monumento Nacional,CHL,,,2023-09-11,snaspe,
"27",Lago Las Torres National Reserve,,Reserva Nacional Lago Las Torres,R.N.Lago Las Torres,spa,National Reserve,Reserva Nacional,CHL,,,2023-09-11,snaspe,
"28",Laguna del Laja National Park,,Parque Nacional Laguna del Laja,P.N.Laguna del Laja,spa,National Park,Parque Nacional,CHL,,,2023-09-11,snaspe,
"29",Lago Cochrane National Reserve,,Reserva Nacional Lago Cochrane,R.N.Lago Cochrane,spa,National Reserve,Reserva Nacional,CHL,,,2023-09-11,snaspe,
"30",Lago Carlota National Park,,Parque Nacional Lago Carlota,P.N.Lago Carlota,spa,National Park,Parque Nacional,CHL,,,2023-09-11,snaspe,
"31",Futaleufú National Reserve,,Reserva Nacional Futaleufú,R.N.Futaleufú,spa,National Reserve,Reserva Nacional,CHL,,,2023-09-11,snaspe,
"32",Coihaique National Reserve,,Reserva Nacional Coihaique,R.N.Coihaique,spa,National Reserve,Reserva Nacional,CHL,,,2023-09-11,snaspe,
"33",Cerro Castillo National Reserve,,Reserva Nacional Cerro Castillo,R.N.Cerro Castillo,spa,National Reserve,Reserva Nacional,CHL,,,2023-09-11,snaspe,
"34",Río Simpson National Reserve,,Reserva Nacional Río Simpson,R.N.Río Simpson,spa,National Reserve,Reserva Nacional,CHL,,,2023-09-11,snaspe,
"35",Vicente Pérez Rosales National Park,,Parque Nacional Vicente Pérez Rosales,P.N.Vicente Pérez Rosales,spa,National Park,Parque Nacional,CHL,,,2023-09-11,snaspe,
"36",Queulat National Park,,Parque Nacional Queulat,P.N.Queulat,spa,National Park,Parque Nacional,CHL,,,2023-09-11,snaspe,
"37",Puyehue National Park,,Parque Nacional Puyehue,P.N.Puyehue,spa,National Park,Parque Nacional,CHL,,,2023-09-11,snaspe,
"38",Laguna de Los Cisnes National Monument,,Monumento Nacional Laguna de Los Cisnes,M.N. Laguna de Los Cisnes,spa,National Monument,Monumento Nacional,CHL,,,2023-09-11,snaspe,
"39",Islotes de Puñihuil National Monument,,Monumento Nacional Islotes de Puñihuil,M.N. Islotes de Puñihuil,spa,National Monument,Monumento Nacional,CHL,,,2023-09-11,snaspe,
"40",Dos Lagunas National Monument,,Monumento Nacional Dos Lagunas,M.N.Dos Lagunas,spa,National Monument,Monumento Nacional,CHL,,,2023-09-11,snaspe,
"41",Palmas de Cocalán National Park,,Parque Nacional Palmas de Cocalán,P.N.Palmas de Cocalán,spa,National Park,Parque Nacional,CHL,,,2023-09-11,snaspe,
"42",Roblería Cobre de Lonch National Reserve,,Reserva Nacional Roblería Cobre de Lonch,R.N.Roblería Cobre de Lonch,spa,National Reserve,Reserva Nacional,CHL,,,2023-09-11,snaspe,
"43",Cinco Hermanos National Monument,,Monumento Nacional Cinco Hermanos,M.N.Cinco Hermanos,spa,National Monument,Monumento Nacional,CHL,,,2023-09-11,snaspe,
"44",Mocho-Choshuenco National Reserve,,Reserva Nacional Mocho-Choshuenco,R.N.Mocho-Choshuenco,spa,National Reserve,Reserva Nacional,CHL,,,2023-09-11,snaspe,
"45",Villarrica National Park,,Parque Nacional Villarrica,P.N.Villarrica,spa,National Park,Parque Nacional,CHL,,,2023-09-11,snaspe,
"46",Villarrica National Reserve,,Reserva Nacional Villarrica,R.N.Villarrica,spa,National Reserve,Reserva Nacional,CHL,,,2023-09-11,snaspe,
"47",Alto Biobío National Reserve,,Reserva Nacional Alto Biobío,R.N.Alto Biobío,spa,National Reserve,Reserva Nacional,CHL,,,2023-09-11,snaspe,
"48",Llanos de Challe National Park,,Parque Nacional Llanos de Challe,P.N.Llanos de Challe,spa,National Park,Parque Nacional,CHL,,,2023-09-11,snaspe,
"49",China Muerta National Reserve,,Reserva Nacional China Muerta,R.N.China Muerta,spa,National Reserve,Reserva Nacional,CHL,,,2023-09-11,snaspe,
"50",Malalcahuello National Reserve,,Reserva Nacional Malalcahuello,R.N.Malalcahuello,spa,National Reserve,Reserva Nacional,CHL,,,2023-09-11,snaspe,
"51",Altos de Pemehue National Reserve,,Reserva Nacional Altos de Pemehue,R.N.Altos de Pemehue,spa,National Reserve,Reserva Nacional,CHL,,,2023-09-11,snaspe,
"52",Nonguen National Reserve,,Reserva Nacional Nonguen,R.N.Nonguen,spa,National Reserve,Reserva Nacional,CHL,,,2023-09-11,snaspe,
"53",Los Queules National Reserve,,Reserva Nacional Los Queules,R.N.Los Queules,spa,National Reserve,Reserva Nacional,CHL,,,2023-09-11,snaspe,
"54",Los Ruiles National Reserve,,Reserva Nacional Los Ruiles,R.N.Los Ruiles,spa,National Reserve,Reserva Nacional,CHL,,,2023-09-11,snaspe,
"55",Federico Albert National Reserve,,Reserva Nacional Federico Albert,R.N.Federico Albert,spa,National Reserve,Reserva Nacional,CHL,,,2023-09-11,snaspe,
"56",Los Bellotos National Reserve,,Reserva Nacional Los Bellotos,R.N.Los Bellotos,spa,National Reserve,Reserva Nacional,CHL,,,2023-09-11,snaspe,
"57",Altos de Lircay National Reserve,,Reserva Nacional Altos de Lircay,R.N.Altos de Lircay,spa,National Reserve,Reserva Nacional,CHL,,,2023-09-11,snaspe,
"58",Radal 7 Tazas National Reserve,,Reserva Nacional Radal 7 Tazas,R.N.Radal 7 Tazas,spa,National Reserve,Reserva Nacional,CHL,,,2023-09-11,snaspe,
"59",Radal 7 Tazas National Park,,Parque Nacional Radal 7 Tazas,P.N.Radal 7 Tazas,spa,National Park,Parque Nacional,CHL,,,2023-09-11,snaspe,
"60",El Yali National Reserve,,Reserva Nacional El Yali,R.N.El Yali,spa,National Reserve,Reserva Nacional,CHL,,,2023-09-11,snaspe,
"61",Paposo Norte National Monument,,Monumento Nacional Paposo Norte,M.N.Paposo Norte,spa,National Monument,Monumento Nacional,CHL,,,2023-09-11,snaspe,
"62",La Portada National Monument,,Monumento Nacional La Portada,M.N. La Portada,spa,National Monument,Monumento Nacional,CHL,,,2023-09-11,snaspe,
"63",Llullaillaco National Park,,Parque Nacional Llullaillaco,P.N.Llullaillaco,spa,National Park,Parque Nacional,CHL,,,2023-09-11,snaspe,
"64",Quebrada de Cardones National Monument,,Monumento Nacional Quebrada de Cardones,M.N.Quebrada de Cardones,spa,National Monument,Monumento Nacional,CHL,,,2023-09-11,snaspe,
"65",Rio Clarillo National Reserve,,Reserva Nacional Rio Clarillo,R.N.Rio Clarillo,spa,National Reserve,Reserva Nacional,CHL,,,2023-09-11,snaspe,
"66",El Morado National Monument,,Monumento Nacional El Morado,M.N.El Morado,spa,National Monument,Monumento Nacional,CHL,,,2023-09-11,snaspe,
"67",Pichasca National Monument,,Monumento Nacional Pichasca,M.N.Pichasca,spa,National Monument,Monumento Nacional,CHL,,,2023-09-11,snaspe,
"68",Bosque Fray Jorge National Park,,Parque Nacional Bosque Fray Jorge,P.N.Bosque Fray Jorge,spa,National Park,Parque Nacional,CHL,,,2023-09-11,snaspe,
"69",Tolhuaca National Park,,Parque Nacional Tolhuaca,P.N.Tolhuaca,spa,National Park,Parque Nacional,CHL,,,2023-09-11,snaspe,
"70",Las Chinchillas National Reserve,,Reserva Nacional Las Chinchillas,R.N.Las Chinchillas,spa,National Reserve,Reserva Nacional,CHL,,,2023-09-11,snaspe,
"71",La Campana National Park,,Parque Nacional La Campana,P.N.La Campana,spa,National Park,Parque Nacional,CHL,,,2023-09-11,snaspe,
"72",Salar de Surire National Monument,,Monumento Nacional Salar de Surire,M.N.Salar de Surire,spa,National Monument,Monumento Nacional,CHL,,,2023-09-11,snaspe,
"73",Lago Peñuelas National Reserve,,Reserva Nacional Lago Peñuelas,R.N.Lago Peñuelas,spa,National Reserve,Reserva Nacional,CHL,,,2023-09-11,snaspe,
"74",Las Vicuñas National Reserve,,Reserva Nacional Las Vicuñas,R.N.Las Vicuñas,spa,National Reserve,Reserva Nacional,CHL,,,2023-09-11,snaspe,
"75",Lago Jeinimeni National Reserve,,Reserva Nacional Lago Jeinimeni,R.N.Lago Jeinimeni,spa,National Reserve,Reserva Nacional,CHL,,,2023-09-11,snaspe,
"76",Chiloé National Park,,Parque Nacional Chiloé,P.N.Chiloé,spa,National Park,Parque Nacional,CHL,,,2023-09-11,snaspe,
"77",Huerquehue National Park,,Parque Nacional Huerquehue,P.N.Huerquehue,spa,National Park,Parque Nacional,CHL,,,2023-09-11,snaspe,
"78",Cueva del Milodón National Monument,,Monumento Nacional Cueva del Milodón,M.N. Cueva del Milodón,spa,National Monument,Monumento Nacional,CHL,,,2023-09-11,snaspe,
"79",Conguillío National Park,,Parque Nacional Conguillío,P.N.Conguillío,spa,National Park,Parque Nacional,CHL,,,2023-09-11,snaspe,
"80",Ñuble National Reserve,,Reserva Nacional Ñuble,R.N.Ñuble,spa,National Reserve,Reserva Nacional,CHL,,,2023-09-11,snaspe,
"81",Los Huemules National Reserve,,Reserva Nacional Los Huemules,R.N.Los Huemules,spa,National Reserve,Reserva Nacional,CHL,,,2023-09-11,snaspe,
"82",Nevado Tres Cruces National Park,,Parque Nacional Nevado Tres Cruces,P.N.Nevado Tres Cruces,spa,National Park,Parque Nacional,CHL,,,2023-09-11,snaspe,
"83",Morro Moreno National Park,,Parque Nacional Morro Moreno,P.N.Morro Moreno,spa,National Park,Parque Nacional,CHL,,,2023-09-11,snaspe,
"84",La Chimba National Reserve,,Reserva Nacional La Chimba,R.N.La Chimba,spa,National Reserve,Reserva Nacional,CHL,,,2023-09-11,snaspe,
"85",Isla Magdalena National Park,,Parque Nacional Isla Magdalena,P.N.Isla Magdalena,spa,National Park,Parque Nacional,CHL,,,2023-09-11,snaspe,
"86",Corcovado National Park,,Parque Nacional Corcovado,P.N.Corcovado,spa,National Park,Parque Nacional,CHL,,,2023-09-11,snaspe,
"87",Estero Quitralco,,Estero Quitralco,Estero Quitralco,spa,Sanctuary,Santuario,CHL,,,2023-09-11,snaspe,
"88",Alerce Costero National Park,,Parque Nacional Alerce Costero,P.N.Alerce Costero,spa,National Park,Parque Nacional,CHL,,,2023-09-11,snaspe,
"89",Río Los Cipreses National Reserve,,Reserva Nacional Río Los Cipreses,R.N.Río Los Cipreses,spa,National Reserve,Reserva Nacional,CHL,,,2023-09-11,snaspe,
"90",Pumalín Park,,Parque Pumalín,Parque Pumalín,spa,Parque,Parque,CHL,,,2023-09-11,snaspe,
"91",Juan Fernández National Park,,Parque Nacional Juan Fernández,P.N.Juan Fernández,spa,National Park,Parque Nacional,CHL,,,2023-09-11,snaspe,
"92",Alberto Agostini National Park,,Parque Nacional Alberto Agostini,P.N.Alberto Agostini,spa,National Park,Parque Nacional,CHL,,,2023-09-11,snaspe,
"93",Laguna San Rafael National Park,,Parque Nacional Laguna San Rafael,P.N.Laguna San Rafael,spa,National Park,Parque Nacional,CHL,,,2023-09-11,snaspe,
"94",Yendegaia National Park,,Parque Nacional Yendegaia,P.N.Yendegaia,spa,National Park,Parque Nacional,CHL,,,2023-09-11,snaspe,
"95",Volcan Isluga National Park,,Parque Nacional Volcan Isluga,P.N.Volcan Isluga,spa,National Park,Parque Nacional,CHL,,,2023-09-11,snaspe,
"96",Rapa Nui National Park,,Parque Nacional Rapa Nui,Parque Nacional Rapa Nui,spa,National Park,Parque Nacional,CHL,,,2023-09-11,snaspe,
"97",Pan de Azucar National Park,,Parque Nacional Pan de Azucar,P.N.Pan de Azucar,spa,National Park,Parque Nacional,CHL,,,2023-09-11,snaspe,
"98",Pampa de Tamarugal National Reserve,,Reserva Nacional Pampa de Tamarugal,R.N.Pampa de Tamarugal,spa,National Reserve,Reserva Nacional,CHL,,,2023-09-11,snaspe,
"99",Nahuelbuta National Park,,Parque Nacional Nahuelbuta,P.N.Nahuelbuta,spa,National Park,Parque Nacional,CHL,,,2023-09-11,snaspe,
"100",Malleco National Reserve,,Reserva Nacional Malleco,R.N.Malleco,spa,National Reserve,Reserva Nacional,CHL,,,2023-09-11,snaspe,
"101",Los Flamencos National Reserve,,Reserva Nacional Los Flamencos,R.N.Los Flamencos,spa,National Reserve,Reserva Nacional,CHL,,,2023-09-11,snaspe,
